taxon_key,name,rank,class,n_europe,reported_pct,ctrl_n,ctrl_reported_pct
1340361,Bombus hyperboreus,SPECIES,Insecta,617,95.3,,
1340503,Bombus terrestris,SPECIES,Insecta,584954,84.3,504413,84.7
1536449,Episyrphus balteatus,SPECIES,Insecta,374847,82.7,329945,83.5
1898286,Vanessa atalanta,SPECIES,Insecta,3013105,94.6,1708796,93.1
1920506,Pieris brassicae,SPECIES,Insecta,2572136,96.9,1125994,96.4
2430567,Pelobates fuscus,SPECIES,Amphibia,23665,85.6,12610,95.2
2431885,Triturus cristatus,SPECIES,Amphibia,201303,94.1,102830,94.8
2433433,Ursus arctos,SPECIES,Mammalia,39122,30.9,15091,32.8
2434779,Monachus monachus,SPECIES,Mammalia,242,91.3,,
2435240,Lynx lynx,SPECIES,Mammalia,95403,55.4,25930,19.1
2435261,Lynx pardinus,SPECIES,Mammalia,1814,66.0,,
2437394,Callosciurus erythraeus,SPECIES,Mammalia,1018,94.0,,
2441454,Testudo hermanni,SPECIES,Testudines,40788,89.7,18521,89.1
2473958,Perdix perdix,SPECIES,Aves,579216,82.2,272803,78.4
2491534,Emberiza citrinella,SPECIES,Aves,3329611,77.8,1950756,72.5
2891770,Impatiens glandulifera,SPECIES,Magnoliopsida,699413,88.0,416811,88.7
3034825,Heracleum mantegazzianum,SPECIES,Magnoliopsida,237325,91.5,142944,92.1
4408498,Crex crex,SPECIES,Aves,255493,87.7,105296,80.5
5218786,Procyon lotor,SPECIES,Mammalia,46022,86.8,29279,82.3
5219073,Gulo gulo,SPECIES,Mammalia,29974,4.8,12787,3.7
5219173,Canis lupus,SPECIES,Mammalia,111684,81.5,26624,67.4
5219219,Canis aureus,SPECIES,Mammalia,2588,73.8,2194,77.8
5844449,Aquila fasciata,SPECIES,Aves,66263,50.4,35942,26.6
8002952,Ambrosia artemisiifolia,SPECIES,Magnoliopsida,128139,63.8,77716,55.2
8077224,Alauda arvensis,SPECIES,Aves,3338006,68.6,2160600,62.8
8894817,Caretta caretta,SPECIES,Testudines,10151,57.2,3710,55.3
8909809,Emys orbicularis,SPECIES,Testudines,56876,86.4,30306,90.9
9809229,Sturnus vulgaris,SPECIES,Aves,6597487,62.8,4391365,55.0
