taxon_key,name,gbif_now,paper_t3,ratio
1340361,Bombus hyperboreus,206,325000,0.001
1340503,Bombus terrestris,188063,266000,0.707
1536449,Episyrphus balteatus,102546,10,10254.6
1898286,Vanessa atalanta,1950367,2000000,0.975
1920506,Pieris brassicae,1837584,1800000,1.021
2430567,Pelobates fuscus,12252,12000,1.021
2431885,Triturus cristatus,132555,149000,0.89
2433433,Ursus arctos,22498,5800,3.879
2434779,Monachus monachus,112,137000,0.001
2435240,Lynx lynx,62582,34900,1.793
2435261,Lynx pardinus,578,436000,0.001
2437394,Callosciurus erythraeus,850,900000,0.001
2441454,Testudo hermanni,30830,34000,0.907
2473958,Perdix perdix,293573,400000,0.734
2491534,Emberiza citrinella,1827163,2500000,0.731
2891770,Impatiens glandulifera,344711,422000,0.817
3034825,Heracleum mantegazzianum,117288,181000,0.648
4408498,Crex crex,168171,140000,1.201
5218786,Procyon lotor,16649,36000,0.462
5219073,Gulo gulo,35290,5700,6.191
5219173,Canis lupus,32758,22500,1.456
5219219,Canis aureus,19634,1400,14.024
5844449,Aquila fasciata,47438,55000,0.863
8002952,Ambrosia artemisiifolia,83078,87000,0.955
8077224,Alauda arvensis,1769317,2500000,0.708
8894817,Caretta caretta,61397,6500,9.446
8909809,Emys orbicularis,37186,39000,0.953
9809229,Sturnus vulgaris,3416868,5000000,0.683
